hotel,district,season,sentiment,topic,reviews_count
Агродом,Нижегородский,Осень,NEGATIVE,Чистота,1
Агродом,Нижегородский,Осень,NEUTRAL,Еда,1
Агродом,Нижегородский,Осень,NEUTRAL,Комфорт/шум,2
Агродом,Нижегородский,Осень,NEUTRAL,Расположение,2
Агродом,Нижегородский,Осень,NEUTRAL,Сервис,1
Агродом,Нижегородский,Осень,NEUTRAL,Цена,1
Агродом,Нижегородский,Осень,POSITIVE,Комфорт/шум,2
Агродом,Нижегородский,Осень,POSITIVE,Расположение,1
Агродом,Нижегородский,Осень,POSITIVE,Сервис,4
Агродом,Нижегородский,Осень,POSITIVE,Чистота,5
Акварель,Советский,Весна,NEGATIVE,Еда,2
Акварель,Советский,Зима,NEGATIVE,Сервис,2
Акварель,Советский,Зима,POSITIVE,Сервис,2
Акварель,Советский,Зима,POSITIVE,Чистота,1
Акварель,Советский,Лето,NEGATIVE,Сервис,2
Акварель,Советский,Лето,NEGATIVE,Чистота,1
Акварель,Советский,Лето,POSITIVE,Еда,1
Акварель,Советский,Лето,POSITIVE,Сервис,2
Акварель,Советский,Лето,POSITIVE,Цена,1
Акварель,Советский,Осень,NEGATIVE,Сервис,1
Акварель,Советский,Осень,NEUTRAL,Еда,1
Акварель,Советский,Осень,POSITIVE,Еда,1
Акварель,Советский,Осень,POSITIVE,Сервис,1
Акварель,Советский,Осень,POSITIVE,Чистота,1
Александраполь,Нижегородский,Весна,NEGATIVE,Сервис,1
Александраполь,Нижегородский,Весна,NEGATIVE,Чистота,1
Александраполь,Нижегородский,Весна,NEUTRAL,Еда,1
Александраполь,Нижегородский,Весна,NEUTRAL,Сервис,1
Александраполь,Нижегородский,Весна,NEUTRAL,Чистота,1
Александраполь,Нижегородский,Весна,POSITIVE,Сервис,2
Александраполь,Нижегородский,Зима,NEGATIVE,Цена,1
Александраполь,Нижегородский,Зима,NEUTRAL,Еда,2
Александраполь,Нижегородский,Зима,NEUTRAL,Чистота,2
Александраполь,Нижегородский,Зима,POSITIVE,Еда,2
Александраполь,Нижегородский,Зима,POSITIVE,Сервис,1
Александраполь,Нижегородский,Зима,POSITIVE,Чистота,1
Александраполь,Нижегородский,Лето,NEGATIVE,Комфорт/шум,1
Александраполь,Нижегородский,Лето,NEGATIVE,Сервис,2
Александраполь,Нижегородский,Лето,NEGATIVE,Цена,2
Александраполь,Нижегородский,Лето,NEUTRAL,Еда,1
Александраполь,Нижегородский,Лето,NEUTRAL,Сервис,2
Александраполь,Нижегородский,Лето,POSITIVE,Комфорт/шум,2
Александраполь,Нижегородский,Лето,POSITIVE,Расположение,2
Александраполь,Нижегородский,Лето,POSITIVE,Сервис,5
Александраполь,Нижегородский,Лето,POSITIVE,Чистота,2
Александраполь,Нижегородский,Осень,NEUTRAL,Еда,2
Александраполь,Нижегородский,Осень,NEUTRAL,Сервис,3
Александраполь,Нижегородский,Осень,NEUTRAL,Чистота,1
Александраполь,Нижегородский,Осень,POSITIVE,Еда,1
Александраполь,Нижегородский,Осень,POSITIVE,Сервис,2
Александраполь,Нижегородский,Осень,POSITIVE,Чистота,1
Апарт Кремлёвский,Советский,Зима,POSITIVE,Комфорт/шум,1
Апарт Кремлёвский,Советский,Зима,POSITIVE,Расположение,2
Апарт Кремлёвский,Советский,Зима,POSITIVE,Сервис,2
Апарт Кремлёвский,Советский,Осень,POSITIVE,Сервис,2
Апарт Кремлёвский,Советский,Осень,POSITIVE,Чистота,1
Апарт-Отель Заповедные Кварталы,Советский,Весна,POSITIVE,Расположение,1
Апарт-Отель Заповедные Кварталы,Советский,Лето,POSITIVE,Расположение,2
Апарт-Отель Заповедные Кварталы,Советский,Лето,POSITIVE,Чистота,1
Апарт-отель Аура,Московский,Зима,POSITIVE,Расположение,1
Апарт-отель Белый Парус,Советский,Лето,NEGATIVE,Расположение,1
Апарт-отель Белый Парус,Советский,Лето,NEGATIVE,Цена,1
Апарт-отель Белый Парус,Советский,Лето,NEUTRAL,Расположение,2
